cell_id,decimalLongitude,decimalLatitude,climate_class,detected,obs_type,log_total_records,n_events,relevance_ratio,recorder_relevance_ratio,recorder_dominance,n_years_with_records,recording_span,recent_activity,mean_coord_uncertainty,spatial_corroboration,national_presence,confirmation_prior
1898744,8.625,53.375,0,0,pseudo_absence,8.17188200612782,901,0.995478948855609,1,0.163040406894603,23,45,1,297.745859680819,0,1,0.552392661571503
1898793,12.7083333333333,53.375,0,0,pseudo_absence,8.4755375161474,673,0.999582898852972,0.975,0.491762252346194,56,164,1,3771.3773168579,0,1,0.552392661571503
1898820,14.9583333333333,53.375,0,0,pseudo_absence,7.82883452758809,326,0.999203504579849,1,0.174034249303067,42,137,1,3237.72585871679,1,1,0.960219979286194
1898839,16.5416666666667,53.375,1,0,pseudo_absence,6.99668148817654,128,0.933150183150183,1,0.328754578754579,35,77,1,2075.97273853779,1,1,0.960219979286194
1898852,17.625,53.375,1,0,pseudo_absence,6.76157276880406,35,0.976825028968714,1,0.972190034762457,13,72,1,507.4,0,1,0.960219979286194
1898856,17.9583333333333,53.375,1,0,pseudo_absence,8.07930819205196,154,0.979541227526348,1,0.929324240545567,31,71,1,2612.77688345138,0,1,0.960219979286194
1898872,19.2916666666667,53.375,1,0,pseudo_absence,7.46164039220858,124,0.928119608970673,1,0.896492236917769,23,68,1,577.385889570552,0,1,0.960219979286194
1898873,19.375,53.375,1,0,pseudo_absence,6.24997524225948,147,0.980657640232108,0.928571428571429,0.251450676982592,27,147,1,1766.1974522293,0,1,0.960219979286194
1898874,19.4583333333333,53.375,1,0,pseudo_absence,6.55250788703459,127,0.975714285714286,1,0.191428571428571,26,67,1,2292.1724137931,0,1,0.960219979286194
1898880,19.9583333333333,53.375,1,0,pseudo_absence,6.64639051484773,99,1,1,0.53446033810143,17,38,1,2340.81609195402,0,1,0.960219979286194
1898886,20.4583333333333,53.375,1,0,pseudo_absence,6.74993119378857,85,0.885111371629543,1,0.849941383352872,23,111,1,3098.3027638191,0,1,0.960219979286194
1898906,22.125,53.375,1,0,pseudo_absence,6.24610676548156,43,0.89126213592233,0.941176470588235,0.852427184466019,15,66,1,3364.06776180698,0,1,0.960219979286194
1898931,24.2083333333333,53.375,1,0,pseudo_absence,3.04452243772342,15,1,1,0.6,6,9,1,6784.25,0,1,0.552392661571503
1898967,27.2083333333333,53.375,0,0,pseudo_absence,3.29583686600433,10,1,1,0.307692307692308,5,20,1,504,0,1,0.552392661571503
1898981,28.375,53.375,1,0,pseudo_absence,3.71357206670431,28,1,1,0.225,11,115,1,3188.23076923077,0,1,0.552392661571503
1898982,28.4583333333333,53.375,1,0,pseudo_absence,2.56494935746154,11,1,1,0.583333333333333,6,9,1,3948.28571428571,0,1,0.552392661571503
1898991,29.2083333333333,53.375,1,0,pseudo_absence,5.75257263882563,9,1,1,0.45859872611465,2,1,1,1496.33333333333,0,1,0.552392661571503
1898996,29.625,53.375,1,0,pseudo_absence,1.09861228866811,2,1,1,0.5,2,6,1,150,0,1,0.552392661571503
1899007,30.5416666666667,53.375,1,0,pseudo_absence,4.33073334028633,45,1,1,0.986666666666667,3,2,0,0,0,1,0.552392661571503
1899010,30.7916666666667,53.375,1,0,pseudo_absence,0.693147180559945,1,1,1,1,1,0,0,0,0,1,0.552392661571503
1899027,32.2083333333333,53.375,1,0,pseudo_absence,0.693147180559945,1,1,1,1,1,0,1,446,0,1,0.552392661571503
1903066,8.79166666666666,53.2916666666667,0,0,pseudo_absence,7.51752085060303,530,0.999456226209897,1,0.108754758020663,30,128,1,451.118644067797,0,1,0.552392661571503
1903092,10.9583333333333,53.2916666666667,1,0,pseudo_absence,8.39253658681668,1013,0.995467935644686,1,0.234760933605257,27,134,1,210.591524573721,0,1,0.552392661571503
1903093,11.0416666666667,53.2916666666667,1,0,pseudo_absence,7.2152399787301,338,1,1,0.114790286975717,27,103,1,1902.47280701754,0,1,0.552392661571503
1903097,11.375,53.2916666666667,0,0,pseudo_absence,6.99209642741589,226,0.997240110395584,1,0.1278748850046,21,42,1,157.873126873127,0,1,0.552392661571503
1903106,12.125,53.2916666666667,1,0,pseudo_absence,6.57228254269401,169,1,1,0.133053221288515,26,70,1,414.35546875,0,1,0.552392661571503
1903112,12.625,53.2916666666667,0,0,pseudo_absence,6.45990445437753,213,0.995297805642633,1,0.148902821316614,21,35,1,332.162291169451,0,1,0.552392661571503
1903127,13.875,53.2916666666667,0,0,pseudo_absence,8.33254893925264,864,0.999278152069297,1,0.0625601539942252,69,172,1,1728.54124579125,0,1,0.552392661571503
1903204,20.2916666666667,53.2916666666667,1,0,pseudo_absence,5.47227067367148,28,1,1,0.219409282700422,12,124,1,3339.86666666667,0,1,0.960219979286194
1903206,20.4583333333333,53.2916666666667,1,0,pseudo_absence,4.71849887129509,41,1,1,0.135135135135135,19,129,1,4387.61538461538,1,1,0.960219979286194
1903209,20.7083333333333,53.2916666666667,1,0,pseudo_absence,3.93182563272433,26,1,1,0.28,11,66,1,4486.55555555556,1,1,0.960219979286194
1903225,22.0416666666667,53.2916666666667,1,0,pseudo_absence,5.56068163101553,35,0.872586872586873,1,0.77992277992278,18,64,1,3151.2380952381,0,1,0.960219979286194
1903247,23.875,53.2916666666667,1,0,pseudo_absence,2.07944154167984,7,1,1,0.714285714285714,3,5,0,0,0,1,0.552392661571503
1903265,25.375,53.2916666666667,0,0,pseudo_absence,1.09861228866811,2,1,1,0.5,2,11,0,0,0,1,0.552392661571503
1903270,25.7916666666667,53.2916666666667,0,0,pseudo_absence,3.2188758248682,13,1,1,0.75,4,10,1,13.9473684210526,0,1,0.552392661571503
1903277,26.375,53.2916666666667,0,0,pseudo_absence,4.0943445622221,16,1,1,0.271186440677966,6,95,1,7.53846153846154,0,1,0.552392661571503
1903300,28.2916666666667,53.2916666666667,1,0,pseudo_absence,1.79175946922805,5,1,1,0.4,3,5,1,278.4,0,1,0.552392661571503
1903310,29.125,53.2916666666667,1,0,pseudo_absence,5.01727983681492,12,1,1,0.286666666666667,4,3,1,194,0,1,0.552392661571503
1903330,30.7916666666667,53.2916666666667,1,0,pseudo_absence,0.693147180559945,1,1,1,1,1,0,0,0,0,1,0.552392661571503
1903339,31.5416666666667,53.2916666666667,1,0,pseudo_absence,2.19722457733622,7,1,1,0.875,1,0,1,352.5,0,1,0.552392661571503
1903363,33.5416666666667,53.2916666666667,1,0,pseudo_absence,0.693147180559945,1,1,1,1,1,0,1,15,3,1,0.552392661571503
1907346,5.45833333333331,53.2083333333333,0,0,pseudo_absence,9.87483084328632,2421,0.996192240403417,1,0.152001646598744,110,197,1,3489.15060642242,0,1,0.960219979286194
1907351,5.875,53.2083333333333,0,0,pseudo_absence,12.3817807146788,11362,0.99487872089658,1,0.0955342949537994,119,180,1,4624.13592874528,0,1,0.960219979286194
1907390,9.125,53.2083333333333,0,0,pseudo_absence,8.13973227971767,839,1,1,0.308724832214765,23,92,1,1016.2385786802,0,1,0.552392661571503
1907392,9.29166666666666,53.2083333333333,1,0,pseudo_absence,7.05617528410041,439,1,1,0.127696289905091,22,33,1,4069.71155682904,0,1,0.552392661571503
1907398,9.79166666666666,53.2083333333333,1,0,pseudo_absence,8.62497078358967,856,0.993534482758621,0.985074626865672,0.134159482758621,26,115,1,1849.45258711721,2,1,0.552392661571503
1907399,9.875,53.2083333333333,0,0,pseudo_absence,9.03658204584272,2354,0.971561161351737,0.946666666666667,0.207758210376011,36,173,1,237.226289517471,2,1,0.552392661571503
1907423,11.875,53.2083333333333,1,0,pseudo_absence,7.40731771046942,90,1,1,0.825743776563449,40,185,1,4834.78713826367,0,1,0.552392661571503
1907441,13.375,53.2083333333333,0,0,pseudo_absence,8.59025776227324,370,0.997210859055411,1,0.456117515805132,70,170,1,4938.00959616154,0,1,0.552392661571503
1907446,13.7916666666667,53.2083333333333,0,0,pseudo_absence,8.98744678941718,292,0.999625046869141,1,0.762404699412573,31,157,1,1405.53924050633,0,1,0.552392661571503
1907456,14.625,53.2083333333333,0,0,pseudo_absence,6.25190388316589,85,1,1,0.295366795366795,22,140,1,2176.79661016949,0,1,0.960219979286194
1907463,15.2083333333333,53.2083333333333,0,0,pseudo_absence,5.40267738187228,44,0.990950226244344,0.875,0.570135746606335,16,66,1,2995.28571428571,0,1,0.960219979286194
1907494,17.7916666666667,53.2083333333333,1,0,pseudo_absence,6.30991827822652,113,0.987249544626594,0.875,0.61384335154827,42,155,1,2003.11333333333,0,1,0.960219979286194
1907527,20.5416666666667,53.2083333333333,1,0,pseudo_absence,4.02535169073515,34,1,1,0.327272727272727,17,68,1,3477.94736842105,1,1,0.960219979286194
1907551,22.5416666666667,53.2083333333333,1,0,pseudo_absence,9.22276289197474,1146,0.998715922560253,1,0.0784274990122481,38,70,1,1571.26424870466,0,1,0.960219979286194
1907575,24.5416666666667,53.2083333333333,0,0,pseudo_absence,5.16478597392351,59,0.982758620689655,1,0.316091954022989,8,58,1,28.9651162790698,0,1,0.552392661571503
1907589,25.7083333333333,53.2083333333333,0,0,pseudo_absence,2.30258509299405,8,0.777777777777778,0.5,0.333333333333333,4,6,1,9,0,1,0.552392661571503
1907603,26.875,53.2083333333333,0,0,pseudo_absence,5.8636311755981,70,1,1,0.165242165242165,10,18,1,116.926829268293,0,1,0.552392661571503
1907629,29.0416666666667,53.2083333333333,1,0,pseudo_absence,3.61091791264422,23,1,1,0.388888888888889,6,10,1,4969.26086956522,0,1,0.552392661571503
1907650,30.7916666666667,53.2083333333333,1,0,pseudo_absence,1.6094379124341,4,1,1,0.5,2,7,1,8639.33333333333,0,1,0.552392661571503
1907674,32.7916666666667,53.2083333333333,1,0,pseudo_absence,3.25809653802148,18,1,1,0.88,2,2,1,341.818181818182,0,1,0.552392661571503
1911674,6.125,53.125,0,0,pseudo_absence,11.3798853802057,6379,0.996036188343881,1,0.0439103516026593,88,197,1,4597.39208736216,1,1,0.960219979286194
1911700,8.29166666666666,53.125,0,0,pseudo_absence,10.4126217466411,3459,0.999669431422046,1,0.115338382017069,38,55,1,724.800480448419,0,1,0.552392661571503
1911719,9.875,53.125,1,0,pseudo_absence,10.506518541153,9172,0.982955789012913,0.989417989417989,0.228003939592909,39,124,1,469.04161467432,1,1,0.552392661571503
1911734,11.125,53.125,0,0,pseudo_absence,9.63795828472548,2203,0.996283012716009,1,0.205868927290512,60,179,1,570.774571942106,0,1,0.552392661571503
1911743,11.875,53.125,0,0,pseudo_absence,5.85507192220243,140,0.994252873563218,1,0.123563218390805,22,119,1,78.6507177033493,0,1,0.552392661571503
1911755,12.875,53.125,0,0,pseudo_absence,8.60300384782935,993,0.992656508169635,1,0.162107582155315,45,161,1,2172.19586911116,0,1,0.552392661571503
1911764,13.625,53.125,1,0,pseudo_absence,9.52857589747142,328,0.993161647024589,1,0.764513312963771,25,121,1,625.950746268657,0,1,0.552392661571503
1911783,15.2083333333333,53.125,0,0,pseudo_absence,4.18965474202643,28,1,1,0.323076923076923,11,66,1,1655.70454545455,0,1,0.960219979286194
1911813,17.7083333333333,53.125,1,0,pseudo_absence,7.99530662029082,150,0.977747808496291,1,0.389076196898179,30,112,1,3294.81753707286,0,1,0.960219979286194
1911821,18.375,53.125,1,0,pseudo_absence,6.30444880242198,60,0.970695970695971,1,0.600732600732601,13,69,1,2341.52747252747,0,1,0.960219979286194
1911853,21.0416666666667,53.125,0,0,pseudo_absence,4.77912349311153,39,1,1,0.23728813559322,23,67,1,5663.44262295082,1,1,0.960219979286194
1911856,21.2916666666667,53.125,0,0,pseudo_absence,4.83628190695148,29,0.984,1,0.192,12,68,1,2922.30612244898,0,1,0.960219979286194
1911859,21.5416666666667,53.125,0,0,pseudo_absence,6.83195356556585,148,0.998920086393089,1,0.245140388768898,29,69,1,3726.77152317881,0,1,0.960219979286194
1911910,25.7916666666667,53.125,0,0,pseudo_absence,1.6094379124341,4,1,1,0.5,3,3,1,12971.5,0,1,0.552392661571503
1911931,27.5416666666667,53.125,1,0,pseudo_absence,4.93447393313069,32,1,1,0.391304347826087,8,26,1,3627,0,1,0.552392661571503
1911934,27.7916666666667,53.125,1,0,pseudo_absence,2.19722457733622,8,1,1,0.375,5,111,1,349.333333333333,0,1,0.552392661571503
1911978,31.4583333333333,53.125,1,0,pseudo_absence,2.89037175789616,14,1,1,1,1,0,0,20.9411764705882,0,1,0.552392661571503
1915984,5.29166666666666,53.0416666666667,0,0,pseudo_absence,10.7966734106952,5683,0.998546779376548,1,0.0888920727838386,66,98,1,4120.55714991834,0,1,0.960219979286194
1916016,7.95833333333331,53.0416666666667,0,0,pseudo_absence,7.73892375743946,239,1,1,0.117647058823529,27,128,1,247.879614767255,0,1,0.552392661571503
1916017,8.04166666666666,53.0416666666667,0,0,pseudo_absence,6.86380339145295,251,0.990585774058577,1,0.190376569037657,23,106,1,1424.02918287938,0,1,0.552392661571503
1916053,11.0416666666667,53.0416666666667,0,0,pseudo_absence,7.85825418218603,611,0.993812838360402,1,0.195282289249807,35,179,1,1253.57506493507,0,1,0.552392661571503
1916060,11.625,53.0416666666667,0,0,pseudo_absence,8.50207955360619,1453,0.998781478472786,1,0.250203086921202,29,95,1,639.36805219913,0,1,0.552392661571503
1916077,13.0416666666667,53.0416666666667,0,0,pseudo_absence,6.4281052726846,169,0.990291262135922,1,0.0938511326860841,28,91,1,1342.83209876543,0,1,0.552392661571503
1916084,13.625,53.0416666666667,1,0,pseudo_absence,6.07073772800249,221,0.986111111111111,1,0.108796296296296,19,134,1,885.057142857143,0,1,0.552392661571503
1916090,14.125,53.0416666666667,0,0,pseudo_absence,8.97929064909088,732,0.999873991935484,1,0.0745967741935484,44,149,1,1193.41809891266,0,1,0.552392661571503
1916108,15.625,53.0416666666667,1,0,pseudo_absence,5.36597601502185,79,1,1,0.230046948356808,20,68,1,2412.65540540541,0,1,0.960219979286194
1916117,16.375,53.0416666666667,1,0,pseudo_absence,5.44673737166631,62,0.978354978354978,1,0.225108225108225,21,131,1,2448.40350877193,0,1,0.960219979286194
1916118,16.4583333333333,53.0416666666667,1,0,pseudo_absence,6.35088571671474,217,0.993006993006993,0.961538461538462,0.381118881118881,43,217,1,2403.6814159292,0,1,0.960219979286194
1916127,17.2083333333333,53.0416666666667,1,0,pseudo_absence,6.62007320653036,105,1,1,0.272363150867824,23,100,1,4824.24451410658,0,1,0.960219979286194
1916131,17.5416666666667,53.0416666666667,1,0,pseudo_absence,6.78558764500793,173,0.983031674208145,1,0.581447963800905,18,67,1,673.512727272727,0,1,0.960219979286194
1916158,19.7916666666667,53.0416666666667,1,0,pseudo_absence,4.02535169073515,28,1,1,0.254545454545455,15,47,1,4813.14,0,1,0.960219979286194
1916179,21.5416666666667,53.0416666666667,0,0,pseudo_absence,5.24174701505964,100,0.98936170212766,1,0.24468085106383,23,68,1,4110.07619047619,0,1,0.960219979286194
1916181,21.7083333333333,53.0416666666667,0,0,pseudo_absence,2.30258509299405,8,1,1,0.333333333333333,6,65,1,5592.2,0,1,0.960219979286194
